name,acc,auc,f1,prec,rec
XGBoost,0.9703125,0.9044616585600193,0.969504871756337,0.9699135044642858,0.9703125
Random Forest,0.9640625,0.9178326227506556,0.9628905438620785,0.9634109949584815,0.9640625
Decision Tree,0.9234375,0.8912007846434076,0.9266511982518489,0.9328213778409091,0.9234375
SVC,0.8765625,0.8520386717108028,0.8608375713734207,0.8587335805084747,0.8765625
KNN,0.8515625,0.7209611881743029,0.8550415204894396,0.8591514847109847,0.8515625
GaussianNB,0.8421875,0.8718349046217899,0.8591566834050693,0.8993414858321378,0.8421875
Logistic Regression,0.8375,0.8712744450449369,0.8556617647058824,0.8997611464968154,0.8375
